Questions,Answer
"Q: 

 How do you bring peace to a relationship with a lot of conflict and arguments?
","
Sri Sri Ravi Shankar:
 There are two ways to handle it:  · Move away from that place at that time - because when everybody is angry and things are heating up, everyone goes deaf. Angry people do not listen to anyone. The best thing is move away a little bit and wait for things to cool down.  · Be there, with patience - First agree with the person, say, ""Yes, I agree with you"".  Suppose your partner is arguing with you, don’t say, ""No, you are wrong"". Instead say, ""Yes, you are right, I agree with you"". The moment you agree, the temperature comes down. As the temperature comes down, say, ""But…"". This is the secret. Sometimes people come to me with big ideas. I tell them, ""Your idea is brilliant, very good, but it is impractical"". Use your skill to calm the situation, and then get across what you want to the other person.
"
"Q: 

 Can you speak a little on marriage?
","
Sri Sri Ravi Shankar:
 Marriage is a commitment to share one's life and care for another. It helps one to come out of self-centeredness. In a marriage, you cannot always think about only yourself. After being married you have to also think about your spouse. If you want to go on a vacation, you cannot just wander around, you have to consult your better half, and all decisions need to be taken in consultation with one another.  Marriage is a very sacred institution where you tell your partner, ""All my desires I give to you and I take all your desires"". So each one has the responsibility to fulfill the other's desires and not their own. Growing in marriage is growing in responsibility, and love and responsibility go together.  Marriage is also that institution of commitment to serve the society together. If you are married only to serve yourself, then you start demanding from each other, and demand destroys love. If you both have a goal to serve society, to make a difference in the world, then it is like two parallel lines that can move together till infinity. Then, there is satisfaction; life finds a fulfillment.
"
"Q: 

 How to deal with my child asking too many questions?
","
Sri Sri Ravi Shankar:
Children ask questions and often they are not looking for an answer, they move on whether you answer or not. Children are not stuck in questions like adults. Adults get stuck in questions, and ask the same questions ten times; children don't care. The spirit of inquiry comes to their mind, they ask a question and move on. So, you shouldn't take it too seriously.
"
"Q: 

 What is Love?
","
Sri Sri Ravi Shankar:
 If there is one substances by which everything is held together and you want to give it a name, you can call it love. It is the basis of all existence. All the cells in your body love each other, that is why they are together. The day they stop loving each other, it all disintegrates.   Love is not all wiggly wiggly and mushy mushy, ""Oh I can’t live without you, I love you so much"", and so on. It is not that. That is just an emotional something. Love means (silence)… that is it.  Love is indescribable. You can’t describe it. And there is not a creature on this planet which doesn’t know it. From the sea to the fishes, from a chicken to an enlightened person, everybody has experienced love. Love for life is what we think it is, but life itself is love. So see through this knowledge that this whole universe is love.
"
"Q: 

 How does one decide to end a relationship especially when children are involved. We are not able to see eye to eye with each other although I do not hate my spouse. Should I change my view using knowledge and carry on with my life?
","
Sri Sri Ravi Shankar:
At times of conflict you don’t see eye to eye with each other, this happens. Have patience. When it becomes absolutely impossible you will not even ask a question. The fact that you’re asking whether you should continue or not indicates that you should continue. It means you can still expand and accommodate.
"
"Q: 

 Gurudev, how can I know whether what I am experiencing is because of my Karmas from my past lives, or is it because of my actions in the present life?
","
Sri Sri Ravi Shankar:
Whether the action is from a past life, or something done 10 years back, or done just yesterday, or even 10 minutes back – it really does not matter. Ultimately, all Karma is Karma, that’s it. That is why it is said that the ways of Karma are mysterious and unfathomable. One cannot understand it totally. That is why we say that you should not worry much about Karma. Just keep moving ahead.
"
"Q: 

 Can you please speak about the palm leaf Nadi reading?
","
Sri Sri Ravi Shankar:
 In ancient India, the Rishisused to have universities in which they used to train psychics. Psychic meansthe one who can see into the future. So, people would stay for twelve or thirteen years, meditate, go deep within and then the master would give them a task. He would say, ""In 2015, on this particular day, at this particular minute, somebody will be born. Astrologically, you calculate and predict how their life will be."" It involved two things – astrological calculation and an insight into space and time. So, this is what they used to do. However, since this was written by the students, it need not be hundred percent true. Students can make mistakes. They will be seventy to eighty percent correct. Second thing is that they can only give you a possibility, saying this may happen. If you are a meditator and if you are on the path of spiritual knowledge, you keep changing your destiny, since you are bringing more positivity into your life. If you chant, meditate and do pranayama, your freedom increases and you don't feel bound by certain events of life.
"
"Q: 

 Gurudev, how do I forgive those who have abused me emotionally and physically? Sometimes I feel like killing them but even that doesn’t seem enough.
","
Sri Sri Ravi Shankar:
When you get hurt, it is not only the other person at fault, it is also your ignorance and your naivety. You have not been intelligent enough, or intuitive enough to avoid it, or move out of it. So, take a little bit of the responsibility on yourself as well. If you had been strong and skillful, nobody could have abused you. When you see the situation from this perspective, you will become calmer.    I want to ask you, haven’t you caused some pain or hurt to someone else knowingly or unknowingly, willingly or unwillingly? You have. If others hold on to it for a lifetime and go after you, how would you like it?    My dear, if someone has abused you, they have been ignorant. It is because of ignorance and some hurt inside them, that they have caused it to others. See it from a wider lens. A happy person will not come and harm anyone else. If someone is harming others, it is because they are not happy, not centered and they don’t know what you know. Consider them as sick people. If someone is physically sick, do you get angry at them? These people are mentally and emotionally sick, they are spiritually sick, and if you hold a grudge against them, you will also become one among them. You will get sick. For your own sake, you should let go and move on.
"
"Q: 

 Why is someone aggressive towards someone else? What is the reason for that?
","
Sri Sri Ravi Shankar:
Stress. Someone who is relaxed cannot be aggressive. Sleep does not provide you that deep mental rest. Sleep only gives you physical rest. If you are agitated and you go to sleep, then even when you wake up you feel the agitation, but meditation removes that agitation. That is why even a little bit of meditation can uplift the spirit.
"
"Q: 

 I can forgive, but I cannot forget the hurt my partner has caused me. What to do?
","
Sri Sri Ravi Shankar:
It's very difficult, isn't it! When you are in love with somebody, pain happens. They are not responsible for your pain, you simply feel pain. Just look at them, what can they do? They cannot behave in a different way.. But your expectations are more, so naturally all this pain comes. And because pain is not likable to anybody, you start hating the person.  If you are wise, you will see that they are just an instrument, that's all. You have to walk your path. Before you met them, you had a life. And afterwards also you will have a life. It is only the divine who will be with you forever.
"
"Q: 

 I am hurt, I don’t want to forgive.
","
Sri Sri Ravi Shankar:
Forgiving others is not for their sake, it is for your own sake, for your mental health. Know that you have the power to do it and just do it. Open your mind to the vastness of this universe. Wake up and see that seven billion people are on this planet, everyday many are being hurt, everyday many are dying. Whatever big thing you are hanging on to about someone’s action towards you, know that it is your karma that made them act that way with you. If not that person, some other person would have given you the same experience. This is what you need to realize, this is what you need to see. When you get a nasty email, you don’t throw your computer or laptop because you’ve got a nasty email. Whatever email came, the laptop just reflects that. Similarly, people are like laptops. You don’t need to forgive them, you simply need to have a better understanding. If you ask them, sometimes, they also may not know why they behaved that way, why they did acts that hurt you. Look at life from a bigger perspective. That’s why I keep saying, behind every event there is knowledge, behind every person there is love, behind every object there is infinity, just know this, watch this, get this, that’s it.
"
"Q: 

 If the whole existence is one then do we have a joint account of karma?
","
Sri Sri Ravi Shankar:
Yes, there are so many types of karma.  1. Collective karma  2. Karma of the time  3. Karma of the place  4. Karma of a family  5. Karma of an individual  There is individual karma, then you have family karma - what you call DNA. Then comes the karma of a region, state and country.  Then there is karma of the time. During the time of World War II, all the people had similar karma and so all over the world there was war. At another particular time there was recession everywhere.     There are different layers of karma. That is why Lord Krishna said, ’Gahana Karmano Gatih’. You cannot fathom the depth of karma. Don't try to analyze karma. Just do your duty and move on. Keep moving ahead with love in your heart and with prayer in your heart.
"
"Q: 

 What is prarabdha karma and sanchita karma?
","
Sri Sri Ravi Shankar:
Some karma can be changed and some cannot. When you prepare halwa, if sugar is less or ghee is less, water more or less, it can all be adjusted. But once sooji (a type of flour) is cooked, it cannot be reversed. If the buttermilk is sour, milk can be added, salt can be added to make it drinkable. But it can never be reversed back to milk. Prarabdha karma cannot be changed. Sanchita karma can be changed by spiritual practices.
"
"Q: 

 Does meditation help to come out of the grief when a closed one passes away?
","
Sri Sri Ravi Shankar:
 Meditation definitely helps you overcome grief when a close one has crossed over to other side.   See, death is a very certain thing. Nothing is more certain than death. However you have lived your life, you are going to die. Successful or unsuccessful, famous or infamous, rich or poor, healthy or sick - you are going to die. It is not only sick people who die, healthy people also die. Everyone will die one day, so death is the most certain thing. Meditation definitely helps you to overcome grief as it helps you accept this reality. You gain a broder perspective, and then you can say, ""Oh you are gone, bye for now. I will see you again in a short while.’   Not only that, but when you meditate, the vibrations reach across to them and they feel peaceful.
"
"Q: 

 What is prarabdha karma and sanchita karma?
","
Sri Sri Ravi Shankar:
Some karma can be changed and some cannot. When you prepare halwa, if sugar is less or ghee is less, water more or less, it can all be adjusted. But once sooji (a type of flour) is cooked, it cannot be reversed. If the buttermilk is sour, milk can be added, salt can be added to make it drinkable. But it can never be reversed back to milk. Prarabdha karma cannot be changed. Sanchita karma can be changed by spiritual practices.
"
"Q: 

 Why is someone aggressive towards someone else? What is the reason for that?
","
Sri Sri Ravi Shankar:
Stress. Someone who is relaxed cannot be aggressive. Sleep does not provide you that deep mental rest. Sleep only gives you physical rest. If you are agitated and you go to sleep, then even when you wake up you feel the agitation, but meditation removes that agitation. That is why even a little bit of meditation can uplift the spirit.
"
"Q: 

 I say that I have forgiven, but when I am meditating, the past comes back and I feel that I am losing out on my experience. Forgiving is easier said than done. Please advise me on how to forgive and be free because I am still hurting.
","
Sri Sri Ravi Shankar:
Forgiving is not only difficult, it is almost impossible as long as you think that someone is a culprit. But if you see that person, whomsoever you want to forgive, not as a culprit but as a victim of situations, a victim of ignorance, or just a postman to deliver what was due to you, you don’t need to forgive them. They just simply disappear from your domain.    When a postman has delivered you a parcel, that’s it, you don’t think about the postman. You are with the parcel, whether you like it or not. You do whatever you want to do with the parcel. This is exactly the attitude you should have.  As I said the other day, when you get a nasty email, you don’t bang or throw your computer or laptop because you’ve got a nasty email. Whatever email came, the laptop just reflects that. That’s all! Similarly, people are just like laptops. You don’t need to forgive them. You simply need to have a better understanding.    If you ask them, sometimes, they also may not know why they behaved that way, why they did acts that hurt you.
"
"Q: 

 What is the ultimate and greatest truth of life? Is it to be happy, or to make one’s family happy, or to serve humankind, or to reach the Divine?
","
Sri Sri Ravi Shankar:
The ultimate journey starts with one step. Just do not sit and dream about the ultimate. Instead, begin your journey towards the ultimate.  Take small steps towards the Truth; towards this inquiry into life – “What is the goal of life?” This very inquiry can take you far. Everything has some significance in life. Just eating alone is not the goal of life. Yet eating is essential for sustaining life. Isn’t it? Similarly, sleeping is not the goal of life. But can you discard sleep altogether? No, you cannot. In the same way, you have to be happy and you also have to make others happy. This is the journey towards the Ultimate. What is the ultimate Truth, or the ultimate purpose of life? I tell you, one who really knows will not tell you, and anyone who does tell you, simply does not know. That is the secret.
"
"Q: 

 How to forgive?
","
Sri Sri Ravi Shankar:
When you find a person to be a culprit, try to see them from a broader angle. The person is a culprit because he is a victim himself or herself. He or she doesn't have knowledge, they are ignorant and they have pain in their own heart. They are a victim and so they are inflicting pain on you and others. So have compassion for them.  When you see that inside every culprit, there is a victim crying for help, you will be able to forgive them.  You must visit a prison and talk to the prisoners there, you will feel so much compassion for them. You will forgive all the sins that they have done. These poor people had nobody to guide them. No guidance and no love, and so they did all the wrong things that they did.
"
"Q: 

 Why do I feel hurt when I do meditation?
","
Sri Sri Ravi Shankar:
Do you know why you feel hurt? It is because meditation is kindling that space which is love, inside of you. It is bringing up the love from within you. Love is connected with hurt.  You may feel sorrow, you may feel some emotions come up and tears well up. Don’t judge them at that time, just be with it. If it becomes a little too unbearable then take some long deep breaths. Do some pranayama, some breathing exercises at that moment - it will soothe you.
"
"Q: 

 I am hurt, I don’t want to forgive.
","
Sri Sri Ravi Shankar:
Forgiving others is not for their sake, it is for your own sake, for your mental health. Know that you have the power to do it and just do it. Open your mind to the vastness of this universe. Wake up and see that seven billion people are on this planet, everyday many are being hurt, everyday many are dying. Whatever big thing you are hanging on to about someone’s action towards you, know that it is your karma that made them act that way with you. If not that person, some other person would have given you the same experience. This is what you need to realize, this is what you need to see. When you get a nasty email, you don’t throw your computer or laptop because you’ve got a nasty email. Whatever email came, the laptop just reflects that. Similarly, people are like laptops. You don’t need to forgive them, you simply need to have a better understanding. If you ask them, sometimes, they also may not know why they behaved that way, why they did acts that hurt you. Look at life from a bigger perspective. That’s why I keep saying, behind every event there is knowledge, behind every person there is love, behind every object there is infinity, just know this, watch this, get this, that’s it.
"
"Q: 

 I am torn between spirituality and sex. I feel a sense of guilt mixing both. I am married and have a good relationship with my wife.
","
Sri Sri Ravi Shankar:
When you are married, that is your duty. You have to grow together with your spouse and help them to grow.
"
"Q: 

 Gurudev, my husband hurts my feelings? How do I change his egoistic nature?
","
Sri Sri Ravi Shankar:
Why do we try to change people? It is because they are hurting us. And the more we want to change someone because they are hurting us, they are not going to change. If you really want them to change, you have to wish for their welfare – because what they are doing is not good for them. If that is your intention, they will change. Your every prayer will make them see things differently and behave differently. So, it all lies in your intention
"
"Q: 

 Please talk on the origin of life.
","
Sri Sri Ravi Shankar:
When we think linearly, we think something should start somewhere and end somewhere. But we should think spherically.   Can you tell me where is the beginning point of a tennis ball? No! So when you can’t find the beginning point of a tennis ball, why do you try to find the beginning of this universe? The mathematics is wrong.  There are two types of thinking, one is spherical thinking and other is linear thinking. The world has neither a beginning nor an end, this is spherical thinking and this is what the Vedic concept is. The Vedic understand is that three things are eternal: The universe, Divinity and Life. They have no beginning and no end, they just go in cycles. This is the most interesting and most scientific understanding of the universe.
"
"Q: 

 I feel jealous when I see people who were at the same level as me earlier but are now much ahead of me. How to deal with it?
","
Sri Sri Ravi Shankar:
 Be friendly with those who are progressing and who are happy, and have compassion for those who are unhappy. Don't be friendly with people who are complaining and negative in their mindset because if you are friendly with them you also get into that mode. So, for people who are miserable, have compassion.    If your friend is progressing why should you be jealous? Would you like your friends being jealous of your progress? Just ask this one question to yourself.    I want to tell you an incident: once a boy was very unhappy and his parents brought him to me. This boy always used to get medals in sports but this time he lost to his friend. So I asked him this simple question, “Why are you unhappy?” He said, “I didn't get the prize”. I asked, “Who got it”, to which he said that his friend got it. I said, “That means you are unhappy that your friend got the prize"", that suddenly woke him up. I said, “What do you want? You want your friends to be happy when you win or you want your friends to be unhappy when you win?” He said, “I want my friends to be happy if I win the race”. I said, “So, now that your friend has won the race why are you not happy?” There was a sudden shift in the mindset of that boy.   This is what is happening in this world - we don't reflect on our self and that little awareness makes it all so different and changes the whole scenario.
"
"Q: 

 Do you need to set an alarm to come out of meditation?
","
Sri Sri Ravi Shankar:
No, usually not because it can be too jarring. But if you keep an intention that I will meditate for 20 minutes or half an hour then your eyes will open. You have an inbuilt clock inside that works with your intention. Have you tried the inner mechanism?  For meditation, it is best to sit for 20 minutes in the very beginning, and not longer than that. If you meditation more than that, then when you come out of meditation you will forget where your home is and where your car keys are! So I recommend 20 minutes or half an hour in the beginning, not more.
"
"Q: 

 Please talk on the origin of life.
","
Sri Sri Ravi Shankar:
When we think linearly, we think something should start somewhere and end somewhere. But we should think spherically.   Can you tell me where is the beginning point of a tennis ball? No! So when you can’t find the beginning point of a tennis ball, why do you try to find the beginning of this universe? The mathematics is wrong.  There are two types of thinking, one is spherical thinking and other is linear thinking. The world has neither a beginning nor an end, this is spherical thinking and this is what the Vedic concept is. The Vedic understand is that three things are eternal: The universe, Divinity and Life. They have no beginning and no end, they just go in cycles. This is the most interesting and most scientific understanding of the universe.
"
"Q: 

 Gurudev, how can I know whether what I am experiencing is because of my Karmas from my past lives, or is it because of my actions in the present life?
","
Sri Sri Ravi Shankar:
Whether the action is from a past life, or something done 10 years back, or done just yesterday, or even 10 minutes back – it really does not matter. Ultimately, all Karma is Karma, that’s it. That is why it is said that the ways of Karma are mysterious and unfathomable. One cannot understand it totally. That is why we say that you should not worry much about Karma. Just keep moving ahead.
"
"Q: 

 Is celibacy the middle path? How do we get to know of God’s expression in its totality without the feminine-masculine principle?
","
Sri Sri Ravi Shankar:
 See, you are made up of both, feminine and masculine. Both aspects are in you. Now, celibacy is not the only way. It is not a practice. Celibacy is something that happens when you realize that you are not the body, and the genders masculine and feminine are only for the body and not for the consciousness. The consciousness is beyond.   When you realize this consciousness is beyond, then you go beyond the gross pleasure. At some point of time you will say, ""Enough is enough. I want to just go inside"". That is when the mind turns inward. So you should not negate anything, but when the energy in you rises up, then you will naturally move towards a joy that is free from feverishness and excitement.     It is said, one minute of samadhi (experience of meditation) is equivalent to 1000 units of sex. How much joy you get in one unit of sex, a thousand units of sex is one samadhi. And that one minute of samadhi is equivalent to a billion years of rest.     Do you want that? Then you have to go beyond these regular things. See, you have to give up something to get something. If you want to really enjoy a nice good meal, you have to give up eating junk food all day. If you are stuffing yourself with a bag of potato chips from the morning, you can’t enjoy your lunch because you won’t have the appetite for it, right? When you are hungry, then you are able to enjoy a good meal.
"
"Q: 

 How to overcome feelings of guilt?
","
Sri Sri Ravi Shankar:
 It is simple - listen to some knowledge. Pranayama and meditation are also one of the best ways to get rid of guilt. When you meditate it removes guilt, uplifts the energy and brings a change at a very concrete level.    In Christianity, confession is given a lot of importance. You confess to the priest of the wrong that you have done. When you offer all the wrongs that you have done, you leave it to the divine to take care of it.  In the Hindu and Buddhist tradition, people do ‘Kshama prardhana’, which means asking God for forgiveness. You say, ""Knowingly and unknowingly I have done some wrong, please forgive me"". Asking for forgiveness will take you out of guilt.
"
"Q: 

 Can you please speak about the palm leaf Nadi reading?
","
Sri Sri Ravi Shankar:
 In ancient India, the Rishisused to have universities in which they used to train psychics. Psychic meansthe one who can see into the future. So, people would stay for twelve or thirteen years, meditate, go deep within and then the master would give them a task. He would say, ""In 2015, on this particular day, at this particular minute, somebody will be born. Astrologically, you calculate and predict how their life will be."" It involved two things – astrological calculation and an insight into space and time. So, this is what they used to do. However, since this was written by the students, it need not be hundred percent true. Students can make mistakes. They will be seventy to eighty percent correct. Second thing is that they can only give you a possibility, saying this may happen. If you are a meditator and if you are on the path of spiritual knowledge, you keep changing your destiny, since you are bringing more positivity into your life. If you chant, meditate and do pranayama, your freedom increases and you don't feel bound by certain events of life.
"
"Q: 

 How to forgive?
","
Sri Sri Ravi Shankar:
When you find a person to be a culprit, try to see them from a broader angle. The person is a culprit because he is a victim himself or herself. He or she doesn't have knowledge, they are ignorant and they have pain in their own heart. They are a victim and so they are inflicting pain on you and others. So have compassion for them.  When you see that inside every culprit, there is a victim crying for help, you will be able to forgive them.  You must visit a prison and talk to the prisoners there, you will feel so much compassion for them. You will forgive all the sins that they have done. These poor people had nobody to guide them. No guidance and no love, and so they did all the wrong things that they did.
"
"Q: 

 What is the use of Astrology?
","
Sri Sri Ravi Shankar:
 Astrology only points the direction for you. In astrology, they will tell you - you may come across these problems, so take precaution. It is like a doctor who says, ""You have high cholesterol, you should take care and work out"". Similarly, if you have diabetes, you should be careful. So, their predictions are according to what medical problem you have and then they give you some remedies – if you do these things, you will have no problem. In the same way, astrologers also say, ""Oh, you are going to have Jupiter coming into the eighth house and so your mind will go topsy turvy. All the faith will go. You will have no confidence in yourself, no faith in anybody, no faith in the work you do and you will be worried. This will continue for one whole year, but it will be too much during these four to five months. So, do your meditation, pranayama, prayers regularly and you can pass that stage. Also, don’t take any decision at this time."" So, these are little predictions about the tendency of the mind and how it goes.
"
"Q: 

 What is prarabdha karma and sanchita karma?
","
Sri Sri Ravi Shankar:
Some karma can be changed and some cannot. When you prepare halwa, if sugar is less or ghee is less, water more or less, it can all be adjusted. But once sooji (a type of flour) is cooked, it cannot be reversed. If the buttermilk is sour, milk can be added, salt can be added to make it drinkable. But it can never be reversed back to milk. Prarabdha karma cannot be changed. Sanchita karma can be changed by spiritual practices.
"
"Q: 

 I feel like I have failed in everything. How do I deal with so much failure?
","
Sri Sri Ravi Shankar:
Never think that you fail in everything. You failed basically because your thought process failed. Thought process fails because of over ambition. When you are too feverish or too ambitious then right thoughts don’t cross your mind. Negativity also does not bring intuitive thought. So when you meditate, then your thoughts become positive and more intuitive. There is a proverb in Sanskrit which says that success comes because of thesattvaand the harmony inside you, not because of the amenities or weapons you have.At least don’t lose your smile. By losing your smile, you will become a double failure. One failure has happened, never mind. At least don’t lose the smile which is your nature.
"
"Q: 

 Gurudev, when we chant a mantra continuously, will that mantra effect our body and life ?
","
Sri Sri Ravi Shankar:
Definitely! But we should not keep chanting continuously, this is not correct. Do you keep bathing continuously? When you chant the mantra for some time, your mind will become stronger. That is why it called mantra. We can do it for 20 - 30 min. If you keep doing it continuously, your intellect will become dull. We should not do it too much. If you stay a lot in water, you will become a fish (laughter). That is why it is referred as mantra-snaan (bath).  If someone keeps listening to music, his intellect will stop working. Similarly, someone who keeps doing math and never listens to music, his personality will also be unbalanced. These things are there to balance our left brain and right brain. We should look it from a scientific perspective. From a scientific perspective, we should listen to music for some time, we engage in some discussions for some time, and we should think for some time. Afterwards, you will experience an all-round development.
"
"Q: 

 I can forgive, but I cannot forget the hurt my partner has caused me. What to do?
","
Sri Sri Ravi Shankar:
It's very difficult, isn't it! When you are in love with somebody, pain happens. They are not responsible for your pain, you simply feel pain. Just look at them, what can they do? They cannot behave in a different way.. But your expectations are more, so naturally all this pain comes. And because pain is not likable to anybody, you start hating the person.  If you are wise, you will see that they are just an instrument, that's all. You have to walk your path. Before you met them, you had a life. And afterwards also you will have a life. It is only the divine who will be with you forever.
"
"Q: 

 Why do we have guilt?
","
Sri Sri Ravi Shankar:
It is good to have a little bit of guilt, not too much. That little guilt can prevent you from committing the same mistake again.    What is guilt? Intellectually you know an action to be bad, but you have a temptation to do that action because it promises you some pleasure or joy. Your hearts wants something, but the mind says, 'It is wrong'. Between the mind and the heart, the heart wins most of the time and this is when guilt comes up in you. And little bit of that guilt can prevent you from derailing further, but it should not be too much.
"
"Q: 

 Does meditation help to come out of the grief when a closed one passes away?
","
Sri Sri Ravi Shankar:
 Meditation definitely helps you overcome grief when a close one has crossed over to other side.   See, death is a very certain thing. Nothing is more certain than death. However you have lived your life, you are going to die. Successful or unsuccessful, famous or infamous, rich or poor, healthy or sick - you are going to die. It is not only sick people who die, healthy people also die. Everyone will die one day, so death is the most certain thing. Meditation definitely helps you to overcome grief as it helps you accept this reality. You gain a broder perspective, and then you can say, ""Oh you are gone, bye for now. I will see you again in a short while.’   Not only that, but when you meditate, the vibrations reach across to them and they feel peaceful.
"
"Q: 

 Can you say something about karma and freedom?
","
Sri Sri Ravi Shankar:
Life moves by dual (two) factors:  1) Inner Tendencies and  2) Outer Influences  Inner tendencies form your attitudes and behaviour, while external influences makes strong impressions in your mind. Often your tendencies generate external situations. And situations around you can form tendencies within you. This is what is called Karma. Both these factors - the tendencies from within and influences from outside can either be beneficial or harmful.  It is awareness (viveka) that filters the outer negative influences and it is the awareness that corrects and annihilates the unhealthy inner tendencies. This awareness is called Gyaana. The purpose of education is to develop this awareness, so that you can be selective about your tendencies and influences.  It is practically impossible to resist the external influences and the inner tendencies without raising one’s consciousness. This can be gradual or sudden. And that is how a human being has both free will and destiny. Freedom is when you have a say about your tendencies and your influences. And only awareness and impeccable devotion can bring this freedom.
"
"Q: 

 If the whole existence is one then do we have a joint account of karma?
","
Sri Sri Ravi Shankar:
Yes, there are so many types of karma.  1. Collective karma  2. Karma of the time  3. Karma of the place  4. Karma of a family  5. Karma of an individual  There is individual karma, then you have family karma - what you call DNA. Then comes the karma of a region, state and country.  Then there is karma of the time. During the time of World War II, all the people had similar karma and so all over the world there was war. At another particular time there was recession everywhere.     There are different layers of karma. That is why Lord Krishna said, ’Gahana Karmano Gatih’. You cannot fathom the depth of karma. Don't try to analyze karma. Just do your duty and move on. Keep moving ahead with love in your heart and with prayer in your heart.
"
"Q: 

 Is meditation concentration?
","
Sri Sri Ravi Shankar:
Meditation is not concentration. Meditation is a deep relaxation, and it is happening to us many times but we don't realize it. Little meditations have happened to all of us here and there, now and then when we felt some happiness. Every time you felt a deep sense of happiness, fulfillment or satisfaction, know that you have somewhere touched that level of meditation.
"
"Q: 

 Gurudev, my husband hurts my feelings? How do I change his egoistic nature?
","
Sri Sri Ravi Shankar:
Why do we try to change people? It is because they are hurting us. And the more we want to change someone because they are hurting us, they are not going to change. If you really want them to change, you have to wish for their welfare – because what they are doing is not good for them. If that is your intention, they will change. Your every prayer will make them see things differently and behave differently. So, it all lies in your intention
"
"Q: 

 After death what happens to the soul?
","
Sri Sri Ravi Shankar:
Well, it gets ready to come back. It goes and stands in the line for another body. Millions are waiting to come back to the planet. That is why I tell people who have suicidal tendencies and want to kill themselves, not to do it. You have waited a long time and in a long queue to get a body, so don’t destroy it. it is very precious!
"
"Q: 

 Please talk on the origin of life.
","
Sri Sri Ravi Shankar:
When we think linearly, we think something should start somewhere and end somewhere. But we should think spherically.   Can you tell me where is the beginning point of a tennis ball? No! So when you can’t find the beginning point of a tennis ball, why do you try to find the beginning of this universe? The mathematics is wrong.  There are two types of thinking, one is spherical thinking and other is linear thinking. The world has neither a beginning nor an end, this is spherical thinking and this is what the Vedic concept is. The Vedic understand is that three things are eternal: The universe, Divinity and Life. They have no beginning and no end, they just go in cycles. This is the most interesting and most scientific understanding of the universe.
"
"Q: 

 Gurudev, what is dispassion, and how do I live a life with dispassion?
","
Sri Sri Ravi Shankar:
 Let us take dispassion to mean contentment. Whenever you are content, that is dispassion. If you have had a full meal, and someone brings more food, you will say, ""No I am full"", that is dispassion. You cannot exist without vairagya. Just as you breathe in, at some point, you have to breathe out. Breathing in is raga, passion, and breathing out is vairagya, dispassion. Breathing in is passion and breathing out is dispassion, and both are essential in life.
"
"Q: 

 Gurudev, how do I forgive those who have abused me emotionally and physically? Sometimes I feel like killing them but even that doesn’t seem enough.
","
Sri Sri Ravi Shankar:
When you get hurt, it is not only the other person at fault, it is also your ignorance and your naivety. You have not been intelligent enough, or intuitive enough to avoid it, or move out of it. So, take a little bit of the responsibility on yourself as well. If you had been strong and skillful, nobody could have abused you. When you see the situation from this perspective, you will become calmer.    I want to ask you, haven’t you caused some pain or hurt to someone else knowingly or unknowingly, willingly or unwillingly? You have. If others hold on to it for a lifetime and go after you, how would you like it?    My dear, if someone has abused you, they have been ignorant. It is because of ignorance and some hurt inside them, that they have caused it to others. See it from a wider lens. A happy person will not come and harm anyone else. If someone is harming others, it is because they are not happy, not centered and they don’t know what you know. Consider them as sick people. If someone is physically sick, do you get angry at them? These people are mentally and emotionally sick, they are spiritually sick, and if you hold a grudge against them, you will also become one among them. You will get sick. For your own sake, you should let go and move on.
"
"Q: 

 Gurudev, can wisdom happen instantly? Is it the same with enlightenment?
","
Sri Sri Ravi Shankar:
Yes, it can be gradual also! The other day, someone was telling me, “Gurudev, suddenly, I realized that I am happy all the time now, which I never was before!” A sudden realization comes that gradually you have become more and more happy. One day you find yourself saying, “I am so happy, so centered; nothing can shake me, nothing can take my smile away!” And then you are there!  Sometimes, there is a flash of lightning, and suddenly you see things, and then it disappears. Sometimes it is like when the sun rises, dawn comes first, then gradually darkness disappears, and day dawns very gradually, and that stays! So both phenomena are there. For some, it can come as an electrical transformation, for others it could be a gradual change. Sometimes you don’t even notice it, but one day, you say, “Wow! Aho!” Just like what is said in Ashtavakra, “Aho! Yes, I got it!”
"
"Q: 

 Is it important to meditate? Do all the people who meditate become successful?
","
Sri Sri Ravi Shankar:
Absolutely important to meditate! When you meditate, you have a healthy body and mind, your intellect becomes sharp and memory becomes very strong.  India’s meditation has been taken up by so many universities abroad - Stanford, Oxford, Harvard. Do you know that now they call pulling the ears super brain yoga? When you meditate daily for some time, circulation in the head and the brain improves, and even the grey matter increases. A lot of research has been done recently which states that meditation is very important. Not only does stress get eliminated, but the Intelligence Quotient (IQ) also increases.
"
"Q: 

 Q.Gurudev, why do we have to suffer because of our past impressions? In the present we are innocent.
","
Sri Sri Ravi Shankar:
Until the impression of your previous done karma is there on your mind, that karma manages to exist. That impression can only be erased through meditation, pranayama and service. You are freed from karma once the impression is erased.  All this is on the mind level only. Karma is nothing but an impression on the mind. When you wake up and see that the mind is a part of you but you are not your mind (that you are much greater than your mind), then all karma automatically dissolves.
"
